"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-01","1.20",",,s","82",",,s","89",",,s","75",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-02","0.05",",,s","75",",,s","80",",,s","72",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-03","0.00","T,,s","74",",,s","79",",,s","71",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-04","0.01",",,s","79",",,s","87",",,s","72",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-05","0.24",",,s","76",",,s","81",",,s","71",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-06","0.45",",,s","73",",,s","77",",,s","71",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-07","0.44",",,s","76",",,s","80",",,s","71",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-08","0.00",",,s","76",",,s","80",",,s","72",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-09","0.06",",,s","79",",,s","81",",,s","75",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-10","0.00","T,,s","83",",,s","90",",,s","78",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-11","0.00","T,,s","82",",,s","90",",,s","76",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-12","0.00",",,s","77",",,s","81",",,s","74",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-13","0.44",",,s","82",",,s","91",",,s","76",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-14","0.08",",,s","75",",,s","80",",,s","70",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-15","0.00","T,,s","80",",,s","88",",,s","74",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-16","0.45",",,s","79",",,s","83",",,s","72",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-17","0.00",",,s","82",",,s","89",",,s","75",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-18","0.00","T,,s","81",",,s","90",",,s","75",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-19","0.00",",,s","84",",,s","92",",,s","77",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-20","0.00",",,s","83",",,s","90",",,s","78",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-21","0.00",",,s","84",",,s","90",",,s","79",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-22","0.00",",,s","85",",,s","91",",,s","80",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-23","0.00",",,s","87",",,s","97",",,s","80",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-24","0.00",",,s","87",",,s","94",",,s","82",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-25","0.00",",,s","89",",,s","98",",,s","82",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-26","0.00",",,s","86",",,s","91",",,s","81",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-27","0.00",",,s","87",",,s","94",",,s","81",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-28","0.00",",,s","87",",,s","94",",,s","80",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-29","0.00","T,,s","85",",,s","90",",,s","81",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-30","0.17",",,s","81",",,s","88",",,s","77",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-07-31","0.37",",,s","78",",,s","84",",,s","74",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-08-01","3.31",",,s","77",",,s","80",",,s","74",",,s"
"CHM00058367","SHANGHAI HONGQIAO, CH","31.167","121.433","7.0","1980-08-02","0.29",",,s","76",",,s","82",",,s","73",",,s"
