"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-01",,,"85","H,,S","91",",,S","79",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-02",,,"86","H,,S","93",",,S","81",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-03",,,"86","H,,S","91",",,S","82",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-04",,,"85","H,,S","91",",,S","81",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-05",,,"86","H,,S","91",",,S","82",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-06",,,"87","H,,S","91",",,S","84",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-07",,,"85","H,,S","91",",,S","81",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-08",,,"85","H,,S","91",",,S","81",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-09",,,"87","H,,S","93",",,S","82",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-10",,,"87","H,,S","95",",,S",,
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-11",,,"82","H,,S","90",",,S",,
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-12",,,"81","H,,S","84",",,S","77",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-13",,,"82","H,,S","84",",,S","77",",,S"
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-14",,,"80","H,,S","86",",,S",,
"CHM00045005","HONG KONG OBSERVATORY, CH","22.3","114.167","62.0","1980-07-15",,,"84","H,,S","90",",,S","79",",,S"
