date,tmax,tmin
1980-07-01,89.0,75.0
1980-07-02,80.0,72.0
1980-07-03,79.0,71.0
1980-07-04,87.0,72.0
1980-07-05,81.0,71.0
1980-07-06,77.0,71.0
1980-07-07,80.0,71.0
1980-07-08,80.0,72.0
1980-07-09,81.0,75.0
1980-07-10,90.0,78.0
1980-07-11,90.0,76.0
1980-07-12,81.0,74.0
1980-07-13,91.0,76.0
1980-07-14,80.0,70.0
1980-07-15,88.0,74.0
1980-07-16,83.0,72.0
1980-07-17,89.0,75.0
1980-07-18,90.0,75.0
1980-07-19,92.0,77.0
1980-07-20,90.0,78.0
1980-07-21,90.0,79.0
1980-07-22,91.0,80.0
1980-07-23,97.0,80.0
1980-07-24,94.0,82.0
1980-07-25,98.0,82.0
1980-07-26,91.0,81.0
1980-07-27,94.0,81.0
1980-07-28,94.0,80.0
1980-07-29,90.0,81.0
1980-07-30,88.0,77.0
1980-07-31,84.0,74.0
1980-08-01,80.0,74.0
1980-08-02,82.0,73.0
1980-08-03,82.0,70.0
1980-08-04,83.0,71.0
1980-08-05,80.0,72.0
1980-08-06,76.0,71.0
1980-08-07,85.0,70.0
1980-08-08,82.0,74.0
1980-08-09,82.0,73.0
1980-08-10,83.0,72.0
1980-08-11,84.0,73.0
1980-08-12,85.0,76.0
1980-08-13,84.0,74.0
1980-08-14,78.0,70.0
1980-08-15,73.0,70.0
1980-08-16,78.0,71.0
1980-08-17,72.0,70.0
1980-08-18,79.0,70.0
1980-08-19,75.0,71.0
1980-08-20,78.0,72.0
1980-08-21,76.0,72.0
1980-08-22,77.0,72.0
1980-08-23,84.0,71.0
1980-08-24,89.0,74.0
1980-08-25,94.0,73.0
1980-08-26,84.0,71.0
1980-08-27,83.0,73.0
1980-08-28,86.0,74.0
1980-08-29,90.0,77.0
1980-08-30,86.0,75.0
1980-08-31,82.0,73.0
1980-09-01,85.0,72.0
1980-09-02,90.0,72.0
1980-09-03,89.0,75.0
1980-09-04,89.0,77.0
1980-09-05,85.0,76.0
1980-09-06,77.0,69.0
1980-09-07,75.0,67.0
1980-09-08,78.0,70.0
1980-09-09,76.0,67.0
1980-09-10,76.0,67.0
1980-09-11,79.0,63.0
1980-09-12,83.0,62.0
1980-09-13,87.0,67.0
1980-09-14,86.0,69.0
1980-09-15,85.0,69.0
1980-09-16,83.0,68.0
1980-09-17,79.0,64.0
1980-09-18,77.0,66.0
1980-09-19,72.0,63.0
1980-09-20,68.0,63.0
1980-09-21,71.0,64.0
1980-09-22,71.0,64.0
1980-09-23,68.0,63.0
1980-09-24,73.0,61.0
1980-09-25,72.0,62.0
1980-09-26,76.0,59.0
1980-09-27,74.0,60.0
1980-09-28,76.0,63.0
1980-09-29,76.0,60.0
1980-09-30,73.0,63.0
1980-10-01,74.0,56.0
1980-10-02,75.0,56.0
1980-10-03,74.0,61.0
1980-10-04,76.0,65.0
1980-10-05,80.0,68.0
1980-10-06,76.0,69.0
1980-10-07,75.0,67.0
1980-10-08,80.0,65.0
1980-10-09,74.0,66.0
1980-10-10,84.0,66.0
1980-10-11,75.0,65.0
1980-10-12,73.0,66.0
1980-10-13,72.0,64.0
1980-10-14,70.0,56.0
1980-10-15,72.0,51.0
1980-10-16,74.0,60.0
1980-10-17,69.0,64.0
1980-10-18,68.0,64.0
1980-10-19,72.0,60.0
1980-10-20,74.0,53.0
1980-10-21,71.0,56.0
1980-10-22,64.0,58.0
1980-10-23,62.0,56.0
1980-10-24,60.0,55.0
1980-10-25,59.0,47.0
1980-10-26,64.0,41.0
1980-10-27,68.0,46.0
1980-10-28,69.0,46.0
1980-10-29,71.0,46.0
1980-10-30,70.0,53.0
1980-10-31,62.0,52.0
1980-11-01,64.0,47.0
1980-11-02,64.0,49.0
1980-11-03,65.0,44.0
1980-11-04,69.0,49.0
1980-11-05,73.0,51.0
1980-11-06,72.0,49.0
1980-11-07,72.0,55.0
1980-11-08,62.0,48.0
1980-11-09,60.0,47.0
1980-11-10,69.0,46.0
1980-11-11,72.0,54.0
1980-11-12,72.0,55.0
1980-11-13,56.0,40.0
1980-11-14,63.0,39.0
1980-11-15,66.0,52.0
1980-11-16,69.0,59.0
1980-11-17,68.0,55.0
1980-11-18,68.0,50.0
1980-11-19,69.0,54.0
1980-11-20,65.0,62.0
1980-11-21,65.0,58.0
1980-11-22,63.0,49.0
1980-11-23,64.0,49.0
1980-11-24,62.0,48.0
1980-11-25,58.0,41.0
1980-11-26,64.0,41.0
