date,tmax,tmin
1980-07-01,91.0,79.0
1980-07-02,93.0,81.0
1980-07-03,91.0,82.0
1980-07-04,91.0,81.0
1980-07-05,91.0,82.0
1980-07-06,91.0,84.0
1980-07-07,91.0,81.0
1980-07-08,91.0,81.0
1980-07-09,93.0,82.0
1980-07-12,84.0,77.0
1980-07-13,84.0,77.0
1980-07-15,90.0,79.0
1980-07-16,90.0,81.0
1980-07-17,91.0,81.0
1980-07-19,88.0,77.0
1980-07-20,90.0,81.0
1980-07-21,91.0,79.0
1980-07-22,84.0,79.0
1980-07-24,90.0,79.0
1980-07-25,91.0,79.0
1980-07-27,82.0,77.0
1980-07-28,82.0,77.0
1980-07-29,90.0,81.0
1980-07-30,88.0,81.0
1980-08-01,90.0,81.0
1980-08-02,90.0,81.0
1980-08-03,90.0,81.0
1980-08-04,90.0,82.0
1980-08-05,86.0,82.0
1980-08-06,90.0,81.0
1980-08-07,84.0,77.0
1980-08-08,90.0,81.0
1980-08-09,86.0,79.0
1980-08-10,88.0,77.0
1980-08-11,90.0,81.0
1980-08-12,88.0,82.0
1980-08-13,90.0,82.0
1980-08-14,91.0,81.0
1980-08-15,91.0,81.0
1980-08-16,91.0,81.0
1980-08-18,84.0,79.0
1980-08-19,88.0,79.0
1980-08-20,88.0,79.0
1980-08-21,91.0,81.0
1980-08-22,91.0,81.0
1980-08-23,90.0,81.0
1980-08-24,90.0,81.0
1980-08-25,90.0,79.0
1980-08-26,90.0,81.0
1980-08-28,91.0,81.0
1980-08-30,86.0,79.0
1980-08-31,88.0,79.0
1980-09-01,82.0,75.0
1980-09-03,88.0,77.0
1980-09-04,88.0,81.0
1980-09-06,90.0,81.0
1980-09-07,90.0,81.0
1980-09-09,90.0,81.0
1980-09-11,88.0,75.0
1980-09-12,88.0,77.0
1980-09-13,88.0,79.0
1980-09-14,82.0,77.0
1980-09-15,82.0,77.0
1980-09-18,88.0,77.0
1980-09-20,84.0,75.0
1980-09-21,88.0,77.0
1980-09-23,84.0,75.0
1980-09-24,84.0,77.0
1980-09-25,84.0,75.0
1980-09-27,84.0,73.0
1980-09-28,82.0,75.0
1980-09-29,84.0,75.0
1980-10-01,82.0,73.0
1980-10-02,82.0,73.0
1980-10-03,82.0,75.0
1980-10-04,84.0,77.0
1980-10-05,86.0,77.0
1980-10-06,88.0,77.0
1980-10-07,88.0,77.0
1980-10-08,88.0,77.0
1980-10-09,84.0,79.0
1980-10-11,86.0,77.0
1980-10-12,84.0,79.0
1980-10-13,91.0,77.0
1980-10-14,84.0,75.0
1980-10-15,82.0,77.0
1980-10-16,82.0,75.0
1980-10-17,84.0,77.0
1980-10-18,86.0,77.0
1980-10-19,86.0,75.0
1980-10-20,81.0,75.0
1980-10-21,81.0,75.0
1980-10-22,79.0,75.0
1980-10-23,77.0,75.0
1980-10-26,73.0,66.0
1980-10-27,73.0,70.0
1980-10-28,77.0,70.0
1980-10-29,77.0,70.0
1980-10-30,81.0,70.0
1980-10-31,81.0,72.0
1980-11-01,79.0,70.0
1980-11-03,75.0,66.0
1980-11-04,77.0,68.0
1980-11-05,81.0,66.0
1980-11-06,81.0,70.0
1980-11-07,84.0,72.0
1980-11-09,77.0,70.0
1980-11-10,75.0,68.0
1980-11-11,75.0,68.0
1980-11-12,79.0,70.0
1980-11-13,79.0,70.0
1980-11-14,73.0,68.0
1980-11-15,75.0,70.0
1980-11-17,77.0,70.0
1980-11-20,79.0,66.0
1980-11-21,77.0,68.0
1980-11-22,77.0,68.0
1980-11-24,75.0,66.0
1980-11-25,75.0,68.0
1980-11-27,77.0,66.0
1980-11-28,79.0,70.0
1980-11-29,73.0,68.0
1980-11-30,75.0,66.0
1980-12-01,73.0,68.0
1980-12-02,79.0,66.0
1980-12-03,73.0,68.0
1980-12-05,72.0,66.0
1980-12-06,73.0,66.0
1980-12-10,72.0,59.0
1980-12-11,72.0,61.0
1980-12-13,66.0,57.0
1980-12-14,68.0,63.0
1980-12-15,70.0,63.0
1980-12-16,72.0,61.0
1980-12-17,70.0,63.0
1980-12-20,66.0,57.0
1980-12-21,66.0,57.0
1980-12-23,66.0,55.0
1980-12-24,64.0,54.0
1980-12-25,66.0,61.0
1980-12-26,66.0,59.0
1980-12-28,63.0,54.0
1980-12-29,66.0,57.0
1980-12-30,64.0,57.0
1980-12-31,64.0,59.0
1981-01-01,70.0,59.0
1981-01-03,63.0,55.0
1981-01-04,63.0,57.0
1981-01-06,66.0,61.0
1981-01-07,64.0,61.0
1981-01-08,68.0,61.0
1981-01-09,70.0,59.0
1981-01-11,61.0,50.0
1981-01-12,64.0,50.0
1981-01-13,66.0,52.0
1981-01-14,68.0,55.0
1981-01-15,70.0,55.0
1981-01-17,61.0,54.0
1981-01-18,64.0,54.0
1981-01-19,70.0,57.0
1981-01-20,64.0,59.0
1981-01-21,70.0,61.0
1981-01-24,73.0,63.0
1981-01-27,63.0,55.0
1981-01-28,64.0,55.0
1981-01-29,66.0,61.0
1981-01-31,68.0,61.0
1981-02-01,70.0,61.0
1981-02-02,66.0,61.0
1981-02-04,63.0,55.0
1981-02-05,66.0,59.0
1981-02-06,70.0,59.0
1981-02-07,63.0,59.0
1981-02-08,70.0,59.0
1981-02-09,72.0,61.0
1981-02-10,68.0,61.0
1981-02-11,68.0,61.0
1981-02-12,70.0,64.0
1981-02-13,73.0,64.0
1981-02-14,77.0,68.0
1981-02-15,70.0,68.0
1981-02-18,64.0,61.0
1981-02-19,66.0,63.0
1981-02-20,64.0,63.0
1981-02-22,70.0,63.0
1981-02-23,77.0,64.0
1981-02-26,54.0,50.0
1981-02-28,61.0,54.0
1981-03-01,68.0,61.0
1981-03-02,64.0,61.0
1981-03-03,70.0,61.0
1981-03-05,64.0,61.0
1981-03-06,70.0,61.0
1981-03-07,66.0,61.0
1981-03-08,73.0,63.0
1981-03-10,70.0,63.0
1981-03-11,66.0,63.0
1981-03-12,77.0,64.0
