date,tmax,tmin
1980-06-28,85.0,85.0
1981-06-28,95.0,95.0
1982-06-28,89.0,89.0
1983-06-28,85.0,85.0
1984-06-28,94.0,94.0
1985-06-28,89.0,89.0
1986-06-28,89.0,89.0
1987-06-28,79.0,79.0
1988-06-28,88.0,88.0
1989-06-28,94.0,94.0
1990-06-28,85.0,85.0
1991-06-28,84.0,84.0
1992-06-28,85.0,85.0
1993-06-28,71.0,71.0
1994-06-28,94.0,94.0
1995-06-28,91.0,91.0
1996-06-28,73.0,73.0
1997-06-28,92.0,92.0
1998-06-28,99.0,99.0
1999-06-28,95.0,95.0
2000-06-28,89.0,89.0
2001-06-28,84.0,84.0
2002-06-28,79.0,79.0
2003-06-28,87.0,87.0
2004-06-28,90.0,90.0
2005-06-28,89.0,89.0
2006-06-28,89.0,89.0
2007-06-28,86.0,86.0
2008-06-28,79.0,79.0
2009-06-28,96.0,96.0
2010-06-28,88.0,88.0
2011-06-28,92.0,92.0
2012-06-28,78.0,78.0
